City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,78.51,74,80,10.98,PF,1675016270
1,cape town,-33.9258,18.4232,75.34,50,0,18.41,ZA,1675016100
2,ribeira grande,38.5167,-28.7,59.4,72,40,5.75,PT,1675016271
3,ouesso,1.6136,16.0517,78.93,61,91,0.07,CG,1675016011
4,moranbah,-22.0016,148.0466,71.55,89,90,6.46,AU,1675016272
5,punta arenas,-53.15,-70.9167,62.71,42,0,21.85,CL,1675016272
6,qaanaaq,77.484,-69.3632,-6.66,82,100,2.21,GL,1675016125
7,yellowknife,62.456,-114.3525,-25.08,75,20,4.61,CA,1675016163
8,portland,45.5234,-122.6762,36.84,39,20,18.99,US,1675015958
9,suba,10.8438,121.0102,78.58,86,93,30.74,PH,1675016275
10,viedma,-40.8135,-62.9967,101.39,12,0,16.44,AR,1675016279
11,tihemetsa,58.1462,25.0459,33.08,85,100,10.87,EE,1675016282
12,nabire,-3.3667,135.4833,76.24,90,100,3.58,ID,1675016283
13,morlaix,48.5833,-4.0,44.76,83,100,10.36,FR,1675016284
14,jamestown,42.097,-79.2353,41.02,96,100,13.8,US,1675016011
15,katsuura,35.1333,140.3,44.17,65,28,16.93,JP,1675016288
16,georgetown,5.4112,100.3354,80.53,79,20,2.3,MY,1675016052
17,mataura,-46.1927,168.8643,51.4,69,61,1.66,NZ,1675016289
18,east london,-33.0153,27.9116,65.34,72,75,4.61,ZA,1675016115
19,sobolevo,54.4299,31.8996,26.01,93,100,10.22,RU,1675016291
20,itarema,-2.9248,-39.9167,85.37,59,21,15.35,BR,1675016037
21,margate,51.3813,1.3862,44.91,89,94,4.0,GB,1675016291
22,barrow,71.2906,-156.7887,-2.18,78,100,9.22,US,1675016293
23,cherskiy,68.75,161.3,-11.51,98,81,1.86,RU,1675016294
24,albany,42.6001,-73.9662,45.73,69,100,1.01,US,1675016289
25,tuktoyaktuk,69.4541,-133.0374,-11.2,77,75,2.3,CA,1675016296
26,dikson,73.5069,80.5464,-29.04,96,21,4.03,RU,1675016298
27,san andres,12.5847,-81.7006,86.02,66,20,16.11,CO,1675016300
28,lazaro cardenas,17.9583,-102.2,85.73,41,0,8.14,MX,1675016302
29,vila franca do campo,37.7167,-25.4333,57.61,73,57,10.89,PT,1675016302
30,bredasdorp,-34.5322,20.0403,66.11,58,99,19.13,ZA,1675016303
31,berlevag,70.8578,29.0864,35.6,93,75,20.71,NO,1675016304
32,iranshahr,27.2025,60.6848,48.54,81,0,0.0,IR,1675016305
33,raga,8.4596,25.678,85.6,18,74,3.85,SS,1675016306
34,lensk,60.7253,114.9278,-8.1,99,98,3.49,RU,1675016307
35,carnarvon,-24.8667,113.6333,72.88,83,0,8.39,AU,1675016308
36,kodiak,57.79,-152.4072,36.91,93,100,6.91,US,1675016310
37,port hardy,50.6996,-127.4199,32.18,86,20,2.3,CA,1675016311
38,butaritari,3.0707,172.7902,81.37,78,100,22.01,KI,1675016311
39,esperance,-33.8667,121.9,61.29,72,46,9.48,AU,1675016312
40,mastic beach,40.7668,-72.8521,51.98,77,40,11.5,US,1675016313
41,belyy yar,53.6039,91.3903,24.69,64,0,17.9,RU,1675016314
42,sao filipe,14.8961,-24.4956,71.47,71,81,16.13,CV,1675016315
43,wolfratshausen,47.9129,11.4217,29.71,88,98,2.35,DE,1675016316
44,russkaya polyana,49.417,31.9201,27.48,80,40,5.97,UA,1675016317
45,saldanha,-33.0117,17.9442,65.35,75,39,14.74,ZA,1675016319
46,alofi,-19.0595,-169.9187,75.09,94,52,2.3,NU,1675016319
47,tongren,27.7172,109.1853,46.15,55,0,0.45,CN,1675016320
48,marco,25.9726,-81.729,86.05,55,0,12.66,US,1675016321
49,hofn,64.2539,-15.2082,34.09,68,80,17.52,IS,1675016322
50,sakaraha,-22.9,44.5333,72.05,94,99,2.04,MG,1675016322
51,kargasok,59.0556,80.8572,13.32,93,81,9.8,RU,1675016323
52,sawakin,19.1059,37.3321,77.0,77,85,4.29,SD,1675016323
53,hobart,-42.8794,147.3294,60.66,82,100,0.0,AU,1675016324
54,bluff,-46.6,168.3333,59.04,73,81,7.43,NZ,1675016324
55,lagoa,39.05,-27.9833,57.54,69,88,14.09,PT,1675016325
56,pauini,-7.7136,-66.9764,79.52,85,90,4.43,BR,1675016326
57,new norfolk,-42.7826,147.0587,60.3,67,72,0.76,AU,1675016327
58,jalingo,8.8833,11.3667,89.71,26,64,2.82,NG,1675016327
59,puerto ayora,-0.7393,-90.3518,87.76,90,89,4.0,EC,1675016329
60,ayni,39.3941,68.5377,24.44,84,100,5.68,TJ,1675016330
61,asilah,35.465,-6.0348,53.56,71,18,12.68,MA,1675016330
62,ushuaia,-54.8,-68.3,53.26,66,75,18.41,AR,1675016331
63,kiunga,-6.1219,141.2906,73.83,100,100,2.68,PG,1675016331
64,saskylakh,71.9167,114.0833,-30.15,98,99,3.33,RU,1675016333
65,carauari,-4.8828,-66.8958,81.19,84,82,2.75,BR,1675016337
66,torbay,47.6666,-52.7314,37.58,62,75,34.52,CA,1675016139
67,mercedes,-34.6515,-59.4307,87.78,28,0,11.36,AR,1675016338
68,kruisfontein,-34.0033,24.7314,62.89,60,98,13.42,ZA,1675016339
69,yar-sale,66.8333,70.8333,-24.5,100,56,4.25,RU,1675016341
70,northam,51.0333,-4.2167,46.62,95,88,12.39,GB,1675016342
71,isangel,-19.55,169.2667,78.82,85,41,3.51,VU,1675016343
72,longyearbyen,78.2186,15.6401,26.44,74,40,21.85,SJ,1675016345
73,hermanus,-34.4187,19.2345,66.79,64,100,22.95,ZA,1675016345
74,kapaa,22.0752,-159.319,71.92,68,75,19.57,US,1675016346
75,norrkoping,58.5942,16.1826,41.99,81,100,24.16,SE,1675016347
76,kaitangata,-46.2817,169.8464,52.79,75,57,5.26,NZ,1675016348
77,kuzovatovo,53.5468,47.6866,7.11,98,93,6.31,RU,1675016348
78,atuona,-9.8,-139.0333,78.66,76,42,19.28,PF,1675016125
79,kingisepp,59.3733,28.6134,33.03,86,99,11.88,RU,1675016349
80,inirida,3.8653,-67.9239,92.89,39,50,3.06,CO,1675016350
81,meulaboh,4.1363,96.1285,77.07,90,98,3.85,ID,1675016351
82,clyde river,70.4692,-68.5914,-22.61,93,42,4.45,CA,1675016352
83,beloha,-25.1667,45.05,75.25,88,66,7.25,MG,1675016352
84,vyartsilya,62.1764,30.693,29.59,97,100,9.01,RU,1675016354
85,hilo,19.7297,-155.09,68.29,88,100,4.61,US,1675016355
86,mount pleasant,32.7941,-79.8626,68.09,79,100,5.75,US,1675016356
87,fukue,32.6881,128.8419,49.84,55,90,24.56,JP,1675016357
88,avarua,-21.2078,-159.775,80.65,83,20,6.91,CK,1675016361
89,port elizabeth,-33.918,25.5701,64.69,69,20,9.22,ZA,1675016362
90,rundu,-17.9333,19.7667,77.16,60,86,10.18,NA,1675016366
91,rocha,-34.4833,-54.3333,81.79,44,37,15.19,UY,1675016367
92,hasaki,35.7333,140.8333,32.22,79,32,7.45,JP,1675016368
93,caucaia,-3.7361,-38.6531,93.31,67,0,16.11,BR,1675016369
94,cabedelo,-6.9811,-34.8339,88.47,66,28,12.95,BR,1675016372
95,cabo san lucas,22.8909,-109.9124,76.6,49,0,6.91,MX,1675016152
96,srikakulam,18.3,83.9,70.83,86,3,4.72,IN,1675016373
97,nador,35.174,-2.9287,53.85,58,40,8.05,MA,1675016080
98,saurimo,-9.6608,20.3916,68.97,84,77,2.98,AO,1675016374
99,castro,-24.7911,-50.0119,83.41,48,13,5.1,BR,1675016375
100,airai,-8.9266,125.4092,61.0,93,96,0.96,TL,1675016376
101,waynesville,35.4887,-82.9887,54.64,69,99,4.0,US,1675016377
102,skibbereen,51.55,-9.2667,53.11,93,90,14.12,IE,1675016377
103,kavieng,-2.5744,150.7967,82.76,74,64,7.92,PG,1675016378
104,grand gaube,-20.0064,57.6608,80.38,83,99,3.11,MU,1675016379
105,bathsheba,13.2167,-59.5167,83.01,57,20,14.97,BB,1675016379
106,pombia,45.653,8.6336,40.33,66,0,4.61,IT,1675016380
107,bethel,41.3712,-73.414,50.54,64,100,5.75,US,1675016381
108,nanortalik,60.1432,-45.2371,24.3,73,100,5.84,GL,1675016382
109,north platte,41.1239,-100.7654,3.33,75,100,8.05,US,1675016274
110,powell,40.1578,-83.0752,44.67,94,100,5.99,US,1675016383
111,gladstone,-23.85,151.25,71.78,88,87,4.61,AU,1675016384
112,te anau,-45.4167,167.7167,49.89,62,83,0.72,NZ,1675016385
113,cockburn town,21.4612,-71.1419,80.56,54,75,17.27,TC,1675016358
114,busselton,-33.65,115.3333,63.75,72,64,12.84,AU,1675016386
115,yaan,7.3833,8.5667,93.7,29,54,7.07,NG,1675016387
116,kununurra,-15.7667,128.7333,76.98,94,100,4.61,AU,1675016387
117,pevek,69.7008,170.3133,-3.33,98,66,2.93,RU,1675016388
118,longido,-2.7333,36.6833,71.58,48,34,15.88,TZ,1675016389
119,tuatapere,-46.1333,167.6833,57.58,61,99,2.93,NZ,1675016390
120,bida,9.0833,6.0167,89.04,41,98,2.75,NG,1675016391
121,pombas,17.1503,-25.0201,71.38,71,100,14.07,CV,1675016391
122,yulara,-25.2406,130.9889,70.45,74,24,10.2,AU,1675016392
123,tasiilaq,65.6145,-37.6368,14.16,82,31,6.15,GL,1675016393
124,coihaique,-45.5752,-72.0662,76.95,47,40,9.22,CL,1675016152
125,zaysan,47.4667,84.8667,-0.71,80,38,3.89,KZ,1675016395
126,san patricio,28.017,-97.5169,75.29,77,99,12.91,US,1675016395
127,codrington,-38.2667,141.9667,54.63,85,0,5.77,AU,1675016396
128,gat,31.61,34.7642,60.4,100,94,6.08,IL,1675016396
129,sokoto,13.0609,5.239,83.21,11,96,8.75,NG,1675016398
130,veraval,20.9,70.3667,65.86,41,0,14.09,IN,1675016398
131,olinda,-8.0089,-34.8553,83.93,61,40,10.36,BR,1675016388
132,kintampo,8.0563,-1.7306,90.45,10,82,4.99,GH,1675016205
133,zapresic,45.8564,15.8078,35.85,92,49,0.69,HR,1675016401
134,puerto penasco,31.3167,-113.5333,59.92,72,0,25.99,MX,1675016179
135,pitrufquen,-38.9833,-72.65,75.22,60,0,12.66,CL,1675016403
136,severo-kurilsk,50.6789,156.125,26.89,91,100,30.85,RU,1675016404
137,salalah,17.0151,54.0924,69.89,28,0,9.22,OM,1675016407
138,vanavara,60.34,102.2797,13.17,95,100,7.76,RU,1675016409
139,thompson,55.7435,-97.8558,-20.04,69,75,10.36,CA,1675016411
140,ulaangom,49.9811,92.0667,-18.51,99,97,2.44,MN,1675016412
141,darab,28.7519,54.5444,49.62,50,0,3.29,IR,1675016413
142,luwuk,-0.9516,122.7875,76.96,85,93,3.04,ID,1675016415
143,lunavada,23.1333,73.6167,66.7,73,6,3.69,IN,1675016416
144,port lincoln,-34.7333,135.8667,60.24,80,7,10.13,AU,1675016240
145,rawson,-43.3002,-65.1023,85.39,34,0,10.2,AR,1675016418
146,harper,4.375,-7.7169,80.89,76,100,7.31,LR,1675016419
147,sitka,57.0531,-135.33,33.69,86,75,0.0,US,1675016421
148,dingle,10.9995,122.6711,74.79,94,100,10.31,PH,1675016422
149,avera,33.194,-82.5271,50.05,77,99,2.55,US,1675016423
150,hay river,60.8156,-115.7999,1.38,71,100,8.05,CA,1675016132
151,chokurdakh,70.6333,147.9167,-37.34,100,70,3.0,RU,1675016425
152,shihezi,44.3,86.0333,-0.08,86,90,3.98,CN,1675016433
153,vadakku valliyur,8.3833,77.65,73.44,85,44,6.55,IN,1675016434
154,nikolskoye,59.7035,30.7861,33.69,90,100,9.4,RU,1675016435
155,khatanga,71.9667,102.5,-40.72,100,77,3.36,RU,1675016435
156,umm kaddadah,13.6017,26.6876,80.29,9,97,10.51,SD,1675016437
157,seoul,37.5683,126.9778,29.59,73,0,1.14,KR,1675016408
158,jibuti,11.5,42.5,70.92,74,30,18.86,DJ,1675016441
159,garissa,-0.4536,39.6401,88.5,27,9,8.39,KE,1675016442
160,tondano,1.3038,124.9112,66.29,94,100,2.59,ID,1675016442
161,villa carlos paz,-31.4241,-64.4978,78.06,73,91,1.01,AR,1675016444
162,mahanoro,-19.9,48.8,78.17,82,99,3.8,MG,1675016447
163,cayenne,4.9333,-52.3333,80.64,65,100,9.22,GF,1675016450
164,fairbanks,64.8378,-147.7164,22.96,88,100,4.61,US,1675016451
165,klaksvik,62.2266,-6.589,40.12,75,78,37.65,FO,1675016452
166,boa vista,2.8197,-60.6733,91.38,40,40,10.36,BR,1675016452
167,mount gambier,-37.8333,140.7667,52.36,92,2,4.76,AU,1675016454
168,bria,6.5423,21.9863,84.85,18,92,2.17,CF,1675016456
169,fortuna,40.5982,-124.1573,48.54,87,20,3.44,US,1675016457
170,husavik,66.0449,-17.3389,26.55,94,100,15.95,IS,1675016458
171,victoria,22.2855,114.1577,56.32,44,65,8.99,HK,1675016274
172,andujar,38.0392,-4.0508,46.94,52,0,1.95,ES,1675016459
173,vaini,-21.2,-175.2,75.36,100,40,1.14,TO,1675016460
174,griffith,41.5284,-87.4237,31.51,88,100,16.11,US,1675016461
175,touros,-5.1989,-35.4608,85.06,58,49,16.28,BR,1675016461
176,poum,-20.2333,164.0167,78.93,77,59,16.26,NC,1675016466
177,hithadhoo,-0.6,73.0833,81.93,74,86,9.98,MV,1675016468
178,hirara,24.8,125.2833,60.46,56,69,16.62,JP,1675016469
179,el alto,-4.2714,-81.2147,83.86,58,93,17.05,PE,1675016471
180,arraial do cabo,-22.9661,-42.0278,80.46,78,40,6.91,BR,1675016474
181,illapel,-31.6308,-71.1653,84.63,33,0,9.22,CL,1675016475
182,asau,46.4333,26.4,25.72,96,93,0.98,RO,1675016476
183,sorland,67.667,12.6934,37.26,90,100,23.47,NO,1675016477
184,naze,28.3667,129.4833,50.92,58,74,13.85,JP,1675016478
185,kuryk,43.2,51.65,32.67,47,25,12.28,KZ,1675016479
186,puerto madryn,-42.7692,-65.0385,93.2,24,0,8.55,AR,1675016480
187,san angelo,31.4638,-100.437,43.02,81,100,11.5,US,1675016482
188,mayo,38.8876,-76.5119,51.04,67,100,10.36,US,1675016484
189,mar del plata,-38.0023,-57.5575,82.83,69,0,14.97,AR,1675016485
190,svetlaya,46.5389,138.3297,3.42,80,4,5.5,RU,1675016487
191,havelock,34.8791,-76.9013,67.98,57,52,5.01,US,1675015627
192,sinjar,36.3209,41.8754,48.07,65,6,3.44,IQ,1675016488
193,lompoc,34.6391,-120.4579,54.52,75,100,10.0,US,1675016489
194,norman wells,65.282,-126.8329,15.84,86,100,11.5,CA,1675016490
195,kloulklubed,7.0419,134.2556,82.09,74,98,15.57,PW,1675016491
196,aklavik,68.2191,-135.0107,10.4,85,75,4.61,CA,1675016492
197,nouadhibou,20.931,-17.0347,67.98,56,21,16.11,MR,1675016493
198,oranjemund,-28.55,16.4333,63.01,84,0,5.7,NA,1675016493
199,houma,29.5958,-90.7195,73.0,92,100,11.5,US,1675016494
200,yarada,17.65,83.2667,79.12,73,9,4.61,IN,1675016497
201,quang ngai,15.1167,108.8,62.24,85,98,7.4,VN,1675016497
202,maceio,-9.6658,-35.7353,87.24,62,40,14.97,BR,1675016464
203,caravelas,-17.7125,-39.2481,84.22,59,84,9.6,BR,1675016499
204,bissendorf,52.2333,8.1667,35.51,88,100,15.66,DE,1675016500
205,salekhard,66.53,66.6019,-2.63,98,100,2.93,RU,1675016501
206,luderitz,-26.6481,15.1594,62.69,81,0,16.2,NA,1675016502
207,sargatskoye,55.6101,73.4972,6.49,94,51,11.05,RU,1675016494
208,vicosa,-20.7539,-42.8819,79.7,71,90,6.98,BR,1675016210
209,quimper,48.0,-4.1,45.16,81,100,3.44,FR,1675016503
210,jobabo,20.9692,-76.2994,84.22,45,23,17.29,CU,1675016504
211,nemuro,43.3236,145.575,20.12,57,12,6.53,JP,1675016505
212,grand forks,47.9417,-97.4337,-5.87,65,0,8.05,US,1675016506
213,kumano,34.3442,132.5894,32.92,75,15,10.74,JP,1675016507
214,kibondo,-3.5864,30.7203,64.69,84,53,1.39,TZ,1675016508
215,kahului,20.8947,-156.47,73.85,88,40,8.05,US,1675016432
216,richards bay,-28.783,32.0377,70.48,73,100,9.42,ZA,1675016509
217,shache,38.4167,77.2406,15.89,91,61,3.69,CN,1675016509
218,lorengau,-2.0226,147.2712,80.91,78,92,3.27,PG,1675016510
219,frolovo,49.7713,43.6622,29.39,92,99,9.35,RU,1675016512
220,yelizovo,53.1873,158.3805,24.94,63,75,11.18,RU,1675016513
221,port alfred,-33.5906,26.891,67.17,65,95,1.99,ZA,1675016513
222,taloda,21.5667,74.2167,74.59,64,44,10.47,IN,1675016515
223,marienburg,54.0359,19.0266,37.89,90,100,14.36,PL,1675016515
224,manavalakurichi,8.1333,77.3,75.09,79,31,4.56,IN,1675016516
225,saint-philippe,-21.3585,55.7679,81.99,88,100,4.61,RE,1675016517
226,bama,11.5221,13.6856,87.46,12,79,9.24,NG,1675016517
227,fort frances,48.5999,-93.4003,-5.94,78,0,5.75,CA,1675016519
228,minab,27.1467,57.0801,61.39,59,0,0.89,IR,1675016520
229,camacha,33.0833,-16.3333,54.82,72,40,13.8,PT,1675016522
230,maarianhamina,60.0973,19.9348,37.26,93,100,16.11,AX,1675016523
